                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3982,                 1.3606,                 1.1533,                 0.7285,                0.68182,                0.73753,                0.65312,                0.40933,                0.82085,                0.71105,              0.0033315,              0.0033315,              0.0033315
                      2,                 0.3935,                 1.4215,                 1.1387,                0.68142,                0.62875,                0.68037,                0.60416,                0.42937,                0.99174,                0.74797,              0.0065989,              0.0065989,              0.0065989
                      3,                0.43074,                 1.6437,                 1.1616,                0.52815,                0.48074,                0.48324,                0.42807,                0.50451,                 1.6066,                0.83379,              0.0098002,              0.0098002,              0.0098002
