                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                    inf,                0.58364,                 1.1085,                0.81546,                0.77096,                0.83713,                0.73422,                0.46071,                 0.7453,                0.88722,               0.002872,               0.002872,               0.002872
                     38,                0.29027,                0.58185,                 1.1065,                0.81671,                0.77051,                0.83791,                0.73549,                0.46102,                0.74473,                0.88772,               0.002674,               0.002674,               0.002674
                     39,                0.28907,                0.57904,                 1.1045,                0.81721,                0.77132,                0.83869,                0.73664,                0.46015,                0.74432,                0.88719,               0.002476,               0.002476,               0.002476
                     40,                 0.2876,                0.57711,                 1.1029,                0.81685,                0.77297,                0.83976,                0.73759,                0.45904,                0.74452,                0.88527,               0.002278,               0.002278,               0.002278
                     41,                0.37814,                0.57408,                 1.2358,                0.81932,                0.77199,                0.84145,                0.74025,                0.45519,                0.74107,                0.88085,                0.00208,                0.00208,                0.00208
                     42,                0.37002,                0.56722,                 1.2249,                0.81982,                 0.7734,                0.84362,                0.74302,                0.45002,                0.73614,                0.87551,               0.001882,               0.001882,               0.001882
                     43,                0.36521,                 0.5595,                 1.2216,                0.82315,                0.77308,                0.84525,                0.74558,                 0.4459,                0.73339,                0.87025,               0.001684,               0.001684,               0.001684
                     44,                    inf,                0.55912,                 1.2141,                0.82227,                0.77576,                0.84681,                0.74776,                0.44195,                0.73172,                0.86568,               0.001486,               0.001486,               0.001486
                     45,                0.35638,                0.55245,                 1.2103,                0.82546,                0.77463,                0.84818,                0.74956,                0.43865,                 0.7296,                0.86187,               0.001288,               0.001288,               0.001288
                     46,                    inf,                0.54642,                 1.2089,                0.82898,                0.77429,                0.84933,                0.75102,                0.43684,                0.72735,                0.85912,                0.00109,                0.00109,                0.00109
                     47,                0.35017,                 0.5425,                 1.2023,                0.82967,                0.77473,                0.85029,                0.75238,                0.43345,                0.73153,                0.85512,               0.000892,               0.000892,               0.000892
                     48,                    inf,                0.53968,                 1.1948,                0.83055,                0.77412,                0.85095,                0.75365,                0.43089,                0.73264,                 0.8516,               0.000694,               0.000694,               0.000694
                     49,                    inf,                0.53105,                 1.1941,                0.83193,                0.77477,                0.85193,                0.75493,                0.42901,                0.73108,                0.84908,               0.000496,               0.000496,               0.000496
                     50,                 0.3396,                0.52727,                 1.1905,                0.83175,                0.77692,                0.85298,                0.75612,                0.42783,                 0.7296,                0.84732,               0.000298,               0.000298,               0.000298
