                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.88627,                0.67173,                 1.2835,                0.89754,                0.89103,                0.93465,                0.68608,                0.98045,                0.50213,                    1.5,                0.00307,                0.00307,                0.00307
                     37,                0.87946,                0.65763,                 1.2796,                0.90004,                0.89118,                0.93555,                0.68706,                0.97998,                0.49933,                 1.4992,               0.002872,               0.002872,               0.002872
                     38,                0.87487,                0.64798,                 1.2775,                 0.9011,                0.89131,                0.93609,                0.68809,                0.97976,                0.49753,                 1.4985,               0.002674,               0.002674,               0.002674
                     39,                0.87046,                0.63699,                 1.2742,                0.90274,                0.89104,                0.93648,                 0.6889,                0.97955,                0.49583,                 1.4977,               0.002476,               0.002476,               0.002476
                     40,                0.86685,                0.62499,                 1.2709,                0.90383,                0.89172,                 0.9373,                0.68959,                0.97925,                0.49406,                 1.4973,               0.002278,               0.002278,               0.002278
                     41,                0.83925,                0.44244,                 1.3819,                0.90534,                0.89183,                0.93762,                0.69017,                0.97859,                0.49232,                 1.4962,                0.00208,                0.00208,                0.00208
                     42,                0.82658,                0.42152,                 1.3702,                0.90545,                0.89278,                0.93818,                0.69102,                0.97816,                0.49073,                 1.4952,               0.001882,               0.001882,               0.001882
                     43,                0.81488,                0.40433,                 1.3585,                0.90667,                0.89253,                0.93877,                0.69191,                0.97793,                0.48965,                 1.4946,               0.001684,               0.001684,               0.001684
                     44,                0.80065,                0.38733,                  1.349,                0.90809,                 0.8923,                0.93929,                0.69253,                  0.978,                0.48817,                 1.4943,               0.001486,               0.001486,               0.001486
                     45,                0.78718,                0.37055,                 1.3372,                0.90804,                0.89225,                0.93965,                0.69281,                0.97809,                0.48739,                 1.4944,               0.001288,               0.001288,               0.001288
                     46,                0.77524,                0.35502,                 1.3256,                0.90965,                0.89087,                0.93968,                0.69287,                0.97867,                0.48621,                 1.4949,                0.00109,                0.00109,                0.00109
                     47,                0.76195,                0.34344,                 1.3149,                0.90933,                0.89226,                0.93964,                0.69302,                 0.9793,                0.48575,                 1.4955,               0.000892,               0.000892,               0.000892
                     48,                0.74435,                0.32969,                  1.299,                0.91145,                0.89133,                0.94003,                0.69328,                0.98017,                0.48525,                 1.4968,               0.000694,               0.000694,               0.000694
                     49,                0.73147,                0.31745,                 1.2887,                 0.9132,                0.88924,                0.93979,                 0.6935,                0.98091,                0.48506,                 1.4981,               0.000496,               0.000496,               0.000496
                     50,                0.71758,                 0.3066,                 1.2764,                0.91557,                0.88857,                0.93952,                0.69325,                0.98185,                0.48492,                 1.4997,               0.000298,               0.000298,               0.000298
