                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3746,                 1.5629,                  1.679,                0.65741,                0.57009,                0.59862,                0.31864,                  1.512,                 1.4811,                 1.8933,               0.003268,               0.003268,               0.003268
                     36,                 1.3683,                 1.5588,                 1.6736,                0.65784,                0.57194,                0.60002,                0.31963,                 1.5108,                 1.4777,                 1.8922,                0.00307,                0.00307,                0.00307
                     37,                 1.3666,                 1.5557,                 1.6722,                0.65915,                0.57212,                0.60133,                0.32039,                 1.5096,                 1.4749,                 1.8913,               0.002872,               0.002872,               0.002872
                     38,                 1.3627,                 1.5485,                 1.6666,                0.65855,                0.57235,                0.60271,                0.32107,                 1.5082,                 1.4728,                 1.8902,               0.002674,               0.002674,               0.002674
                     39,                 1.3544,                 1.5437,                 1.6633,                0.66023,                0.57268,                0.60348,                0.32185,                 1.5066,                 1.4716,                 1.8894,               0.002476,               0.002476,               0.002476
                     40,                 1.3512,                 1.5368,                 1.6594,                0.66035,                0.57257,                0.60437,                0.32259,                 1.5054,                 1.4698,                 1.8882,               0.002278,               0.002278,               0.002278
                     41,                 1.4661,                 1.4463,                 1.8769,                0.66231,                0.57144,                0.60577,                0.32383,                 1.5025,                 1.4671,                 1.8855,                0.00208,                0.00208,                0.00208
                     42,                 1.4524,                 1.4223,                 1.8657,                0.66388,                0.57415,                0.60844,                0.32529,                 1.4991,                 1.4628,                 1.8829,               0.001882,               0.001882,               0.001882
                     43,                 1.4398,                 1.4115,                 1.8517,                0.66389,                0.57651,                 0.6101,                0.32711,                 1.4958,                 1.4591,                 1.8802,               0.001684,               0.001684,               0.001684
                     44,                 1.4266,                 1.4086,                 1.8448,                0.66691,                0.57674,                0.61139,                0.32877,                 1.4923,                 1.4552,                 1.8777,               0.001486,               0.001486,               0.001486
                     45,                 1.4169,                 1.3917,                 1.8365,                0.66888,                0.57751,                0.61306,                0.33023,                 1.4889,                 1.4515,                 1.8751,               0.001288,               0.001288,               0.001288
                     46,                 1.4071,                 1.3787,                 1.8298,                0.66941,                0.57933,                0.61473,                0.33173,                 1.4861,                 1.4474,                 1.8728,                0.00109,                0.00109,                0.00109
                     47,                 1.4047,                 1.3741,                 1.8262,                0.67092,                0.58192,                0.61601,                0.33286,                 1.4831,                 1.4444,                 1.8705,               0.000892,               0.000892,               0.000892
                     48,                 1.3891,                 1.3613,                 1.8109,                0.66972,                0.58269,                0.61676,                0.33441,                 1.4807,                 1.4407,                 1.8686,               0.000694,               0.000694,               0.000694
                     49,                 1.3852,                 1.3568,                 1.8053,                0.66948,                0.58316,                0.61846,                0.33582,                 1.4784,                  1.437,                 1.8666,               0.000496,               0.000496,               0.000496
                     50,                 1.3736,                 1.3488,                 1.7983,                0.67129,                0.58394,                 0.6203,                 0.3369,                 1.4757,                  1.433,                 1.8647,               0.000298,               0.000298,               0.000298
