                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3671,                 1.1713,                 1.1244,                0.72601,                0.67363,                0.73103,                0.65036,                0.41741,                0.85212,                0.71717,              0.0033315,              0.0033315,              0.0033315
                      2,                0.37482,                 1.2799,                 1.1251,                0.66465,                 0.6242,                0.66699,                0.59239,                0.42922,                 1.0045,                0.73885,              0.0065989,              0.0065989,              0.0065989
                      3,                0.41727,                 1.5382,                 1.1532,                0.50326,                0.44838,                0.45412,                 0.4026,                0.53225,                 1.6666,                 0.8842,              0.0098002,              0.0098002,              0.0098002
