                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.30455,                  1.375,                 1.0578,                0.68239,                0.65006,                0.68695,                0.60914,                0.41804,                0.92331,                0.73321,               0.002872,               0.002872,               0.002872
                     38,                    inf,                 1.3625,                 1.0548,                0.68012,                0.65493,                0.68889,                0.61106,                 0.4174,                 0.9187,                0.73176,               0.002674,               0.002674,               0.002674
                     39,                0.29997,                 1.3515,                 1.0544,                0.68368,                0.65507,                0.69101,                0.61313,                0.41456,                0.91298,                0.72897,               0.002476,               0.002476,               0.002476
                     40,                0.29685,                  1.337,                 1.0542,                0.68523,                0.65698,                0.69307,                0.61509,                0.41211,                0.90667,                0.72648,               0.002278,               0.002278,               0.002278
                     41,                 0.3683,                 1.0213,                 1.1306,                 0.6872,                0.66037,                0.69659,                0.61904,                 0.4059,                 0.8986,                0.71965,                0.00208,                0.00208,                0.00208
                     42,                0.35839,                 0.9761,                 1.1204,                0.69621,                0.66029,                0.69983,                0.62315,                0.39903,                0.88725,                0.71226,               0.001882,               0.001882,               0.001882
                     43,                0.35287,                0.94061,                 1.1152,                0.69838,                 0.6639,                 0.7038,                0.62724,                0.39424,                0.87717,                0.70549,               0.001684,               0.001684,               0.001684
                     44,                0.34889,                0.91248,                 1.1099,                0.70503,                0.66245,                 0.7078,                0.63113,                0.39132,                0.86757,                0.70094,               0.001486,               0.001486,               0.001486
                     45,                0.34492,                0.88732,                 1.1056,                0.70813,                0.66518,                 0.7109,                0.63401,                0.38949,                0.86006,                0.69768,               0.001288,               0.001288,               0.001288
                     46,                0.33919,                 0.8558,                 1.0996,                0.70875,                0.66845,                0.71324,                0.63636,                0.38811,                 0.8541,                0.69509,                0.00109,                0.00109,                0.00109
                     47,                    inf,                0.82587,                 1.0965,                0.71524,                0.66809,                0.71547,                0.63892,                0.38781,                0.84945,                0.69352,               0.000892,               0.000892,               0.000892
                     48,                0.33146,                0.79865,                 1.0914,                0.71954,                0.66848,                0.71774,                0.64056,                0.38766,                0.84513,                0.69193,               0.000694,               0.000694,               0.000694
                     49,                    inf,                 0.7751,                 1.0869,                0.71916,                0.67135,                0.72006,                0.64233,                0.38804,                0.84249,                0.69091,               0.000496,               0.000496,               0.000496
                     50,                0.32418,                0.74481,                 1.0851,                0.71851,                0.67459,                0.72175,                0.64354,                0.38768,                0.83916,                0.68903,               0.000298,               0.000298,               0.000298
